| case | noc | major | source | receiver | rect | raw route | hops | x | y | wraps | bytes | iters | seen-issue cyc | seen-sent cyc | sent reqs | recv polls |
| rect | 1 | x | `1,2` | `14,11` | `14,11->2,3` | `15,9->0,0` | 5 | 2 | 3 | 2 | 1024 | 16 | min=474 avg=479.500 med=479.500 max=483 | min=56 avg=61.500 med=61.500 max=65 | 16 | 9859 |
| rect | 1 | x | `1,2` | `2,3` | `14,11->2,3` | `15,9->14,8` | 27 | 16 | 11 | 2 | 16384 | 16 | min=918 avg=924.375 med=924.500 max=929 | min=255 avg=264.375 med=264.000 max=271 | 16 | 10342 |
| rect | 1 | x | `1,2` | `14,3` | `14,11->2,3` | `15,9->0,8` | 13 | 2 | 11 | 2 | 16384 | 16 | min=792 avg=797.562 med=796.500 max=803 | min=128 avg=137.562 med=137.500 max=145 | 16 | 10311 |
| rect | 1 | x | `1,2` | `2,11` | `14,11->2,3` | `15,9->14,0` | 19 | 16 | 3 | 2 | 16384 | 16 | min=844 avg=852.188 med=853.000 max=857 | min=185 avg=192.188 med=192.000 max=198 | 16 | 10240 |
| rect | 1 | x | `1,2` | `14,11` | `14,11->2,3` | `15,9->0,0` | 5 | 2 | 3 | 2 | 16384 | 16 | min=718 avg=725.375 med=726.000 max=730 | min=59 avg=65.375 med=64.500 max=72 | 16 | 10198 |
| rect | 1 | y | `1,2` | `2,3` | `14,11->2,3` | `15,9->14,8` | 27 | 16 | 11 | 2 | 64 | 16 | min=656 avg=657.938 med=657.500 max=661 | min=631 avg=632.938 med=632.500 max=636 | 16 | 9486 |
| rect | 1 | y | `1,2` | `14,3` | `14,11->2,3` | `15,9->0,8` | 13 | 2 | 11 | 2 | 64 | 16 | min=530 avg=531.938 med=532.000 max=534 | min=505 avg=506.938 med=507.000 max=509 | 16 | 9446 |
| rect | 1 | y | `1,2` | `2,11` | `14,11->2,3` | `15,9->14,0` | 19 | 16 | 3 | 2 | 64 | 16 | min=584 avg=588.250 med=588.000 max=593 | min=559 avg=563.250 med=563.000 max=568 | 16 | 9416 |
| rect | 1 | y | `1,2` | `14,11` | `14,11->2,3` | `15,9->0,0` | 5 | 2 | 3 | 2 | 64 | 16 | min=458 avg=458.562 med=458.000 max=467 | min=433 avg=433.562 med=433.000 max=442 | 16 | 9342 |
| rect | 1 | y | `1,2` | `2,3` | `14,11->2,3` | `15,9->14,8` | 27 | 16 | 11 | 2 | 1024 | 16 | min=671 avg=677.188 med=678.000 max=682 | min=253 avg=259.188 med=260.000 max=264 | 16 | 9952 |
| rect | 1 | y | `1,2` | `14,3` | `14,11->2,3` | `15,9->0,8` | 13 | 2 | 11 | 2 | 1024 | 16 | min=546 avg=551.500 med=552.500 max=555 | min=128 avg=133.500 med=134.500 max=137 | 16 | 9956 |
| rect | 1 | y | `1,2` | `2,11` | `14,11->2,3` | `15,9->14,0` | 19 | 16 | 3 | 2 | 1024 | 16 | min=599 avg=604.000 med=603.500 max=609 | min=181 avg=186.000 med=185.500 max=191 | 16 | 9900 |
| rect | 1 | y | `1,2` | `14,11` | `14,11->2,3` | `15,9->0,0` | 5 | 2 | 3 | 2 | 1024 | 16 | min=473 avg=478.875 med=479.500 max=483 | min=55 avg=60.875 med=61.500 max=65 | 16 | 9836 |
| rect | 1 | y | `1,2` | `2,3` | `14,11->2,3` | `15,9->14,8` | 27 | 16 | 11 | 2 | 16384 | 16 | min=918 avg=924.625 med=926.000 max=930 | min=254 avg=264.625 med=264.500 max=272 | 16 | 10346 |
| rect | 1 | y | `1,2` | `14,3` | `14,11->2,3` | `15,9->0,8` | 13 | 2 | 11 | 2 | 16384 | 16 | min=790 avg=798.500 med=801.000 max=803 | min=129 avg=138.500 med=137.500 max=145 | 16 | 10305 |
| rect | 1 | y | `1,2` | `2,11` | `14,11->2,3` | `15,9->14,0` | 19 | 16 | 3 | 2 | 16384 | 16 | min=846 avg=851.375 med=851.000 max=858 | min=185 avg=191.375 med=191.000 max=199 | 16 | 10261 |
| rect | 1 | y | `1,2` | `14,11` | `14,11->2,3` | `15,9->0,0` | 5 | 2 | 3 | 2 | 16384 | 16 | min=719 avg=724.938 med=725.000 max=730 | min=61 avg=64.938 med=64.500 max=71 | 16 | 10215 |
