| case | noc | major | source | receiver | rect | raw route | hops | x | y | wraps | bytes | iters | seen-issue cyc | seen-sent cyc | sent reqs | recv polls |
| row | 1 | x | `1,2` | `5,2` | `14,2->2,2` | `15,9->11,9` | 13 | 13 | 0 | 1 | 16384 | 16 | min=627 avg=632.438 med=632.000 max=641 | min=121 avg=126.438 med=126.000 max=135 | 16 | 10130 |
| row | 1 | x | `1,2` | `14,2` | `14,2->2,2` | `15,9->0,9` | 2 | 2 | 0 | 1 | 16384 | 16 | min=539 avg=543.500 med=544.000 max=548 | min=33 avg=37.500 med=38.000 max=42 | 16 | 10040 |
| row | 1 | y | `1,2` | `2,2` | `14,2->2,2` | `15,9->14,9` | 16 | 16 | 0 | 1 | 64 | 16 | min=403 avg=408.875 med=410.500 max=413 | min=378 avg=383.875 med=385.500 max=388 | 16 | 9552 |
| row | 1 | y | `1,2` | `5,2` | `14,2->2,2` | `15,9->11,9` | 13 | 13 | 0 | 1 | 64 | 16 | min=366 avg=366.375 med=366.000 max=372 | min=341 avg=341.375 med=341.000 max=347 | 16 | 9472 |
| row | 1 | y | `1,2` | `14,2` | `14,2->2,2` | `15,9->0,9` | 2 | 2 | 0 | 1 | 64 | 16 | min=277 avg=282.688 med=284.000 max=286 | min=252 avg=257.688 med=259.000 max=261 | 16 | 9381 |
| row | 1 | y | `1,2` | `2,2` | `14,2->2,2` | `15,9->14,9` | 16 | 16 | 0 | 1 | 1024 | 16 | min=418 avg=423.438 med=423.500 max=428 | min=152 avg=157.438 med=157.500 max=162 | 16 | 9812 |
| row | 1 | y | `1,2` | `5,2` | `14,2->2,2` | `15,9->11,9` | 13 | 13 | 0 | 1 | 1024 | 16 | min=381 avg=385.812 med=386.500 max=391 | min=115 avg=119.812 med=120.500 max=125 | 16 | 9759 |
| row | 1 | y | `1,2` | `14,2` | `14,2->2,2` | `15,9->0,9` | 2 | 2 | 0 | 1 | 1024 | 16 | min=292 avg=296.938 med=296.500 max=302 | min=26 avg=30.938 med=30.500 max=36 | 16 | 9696 |
| row | 1 | y | `1,2` | `2,2` | `14,2->2,2` | `15,9->14,9` | 16 | 16 | 0 | 1 | 16384 | 16 | min=666 avg=671.125 med=671.500 max=676 | min=158 avg=164.125 med=164.000 max=169 | 16 | 10230 |
| row | 1 | y | `1,2` | `5,2` | `14,2->2,2` | `15,9->11,9` | 13 | 13 | 0 | 1 | 16384 | 16 | min=627 avg=633.188 med=632.500 max=640 | min=119 avg=126.188 med=124.500 max=134 | 16 | 10119 |
| row | 1 | y | `1,2` | `14,2` | `14,2->2,2` | `15,9->0,9` | 2 | 2 | 0 | 1 | 16384 | 16 | min=541 avg=542.688 med=542.000 max=546 | min=30 avg=35.688 med=36.000 max=38 | 16 | 10033 |
