| case | group | noc | major | source | receiver | rect | raw route | hops | bytes | iters | seen-issue cyc | seen-sent cyc | sent reqs | recv polls |
| solo_a | a | 1 | y | `1,2` | `2,3` | `4,5->2,3` | `15,9->14,8` | 27 | 16384 | 4 | min=924 avg=928.000 med=928.500 max=931 | min=266 avg=270.000 med=270.500 max=273 | 4 | 2979 |
| solo_a | a | 1 | y | `1,2` | `3,3` | `4,5->2,3` | `15,9->13,8` | 26 | 16384 | 4 | min=915 avg=915.500 med=915.000 max=917 | min=257 avg=257.500 med=257.000 max=259 | 4 | 3002 |
| solo_a | a | 1 | y | `1,2` | `4,3` | `4,5->2,3` | `15,9->12,8` | 25 | 16384 | 4 | min=901 avg=904.000 med=903.500 max=908 | min=243 avg=246.000 med=245.500 max=250 | 4 | 2984 |
| solo_a | a | 1 | y | `1,2` | `2,4` | `4,5->2,3` | `15,9->14,7` | 26 | 16384 | 4 | min=912 avg=916.750 med=916.000 max=923 | min=254 avg=258.750 med=258.000 max=265 | 4 | 3000 |
| solo_a | a | 1 | y | `1,2` | `3,4` | `4,5->2,3` | `15,9->13,7` | 25 | 16384 | 4 | min=900 avg=903.250 med=903.000 max=907 | min=242 avg=245.250 med=245.000 max=249 | 4 | 2998 |
| solo_a | a | 1 | y | `1,2` | `4,4` | `4,5->2,3` | `15,9->12,7` | 24 | 16384 | 4 | min=885 avg=887.750 med=886.500 max=893 | min=227 avg=229.750 med=228.500 max=235 | 4 | 2977 |
| solo_a | a | 1 | y | `1,2` | `2,5` | `4,5->2,3` | `15,9->14,6` | 25 | 16384 | 4 | min=901 avg=908.000 med=909.000 max=913 | min=243 avg=250.000 med=251.000 max=255 | 4 | 2990 |
| solo_a | a | 1 | y | `1,2` | `3,5` | `4,5->2,3` | `15,9->13,6` | 24 | 16384 | 4 | min=886 avg=891.000 med=891.500 max=895 | min=228 avg=233.000 med=233.500 max=237 | 4 | 2962 |
| solo_a | a | 1 | y | `1,2` | `4,5` | `4,5->2,3` | `15,9->12,6` | 23 | 16384 | 4 | min=874 avg=879.000 med=879.500 max=883 | min=216 avg=221.000 med=221.500 max=225 | 4 | 2967 |
| disjoint | a | 0 | x | `1,2` | `2,3` | `2,3->4,5` | `1,2->2,3` | 2 | 16384 | 4 | min=400 avg=403.000 med=401.500 max=409 | min=30 avg=33.000 med=31.500 max=39 | 4 | 2819 |
| disjoint | a | 0 | x | `1,2` | `3,3` | `2,3->4,5` | `1,2->3,3` | 3 | 16384 | 4 | min=407 avg=407.750 med=408.000 max=408 | min=37 avg=37.750 med=38.000 max=38 | 4 | 2817 |
| disjoint | a | 0 | x | `1,2` | `4,3` | `2,3->4,5` | `1,2->4,3` | 4 | 16384 | 4 | min=417 avg=418.250 med=418.000 max=420 | min=47 avg=48.250 med=48.000 max=50 | 4 | 2785 |
| disjoint | a | 0 | x | `1,2` | `2,4` | `2,3->4,5` | `1,2->2,4` | 3 | 16384 | 4 | min=415 avg=417.000 med=417.000 max=419 | min=45 avg=47.000 med=47.000 max=49 | 4 | 2810 |
| disjoint | a | 0 | x | `1,2` | `3,4` | `2,3->4,5` | `1,2->3,4` | 4 | 16384 | 4 | min=421 avg=421.250 med=421.000 max=422 | min=51 avg=51.250 med=51.000 max=52 | 4 | 2812 |
| disjoint | a | 0 | x | `1,2` | `4,4` | `2,3->4,5` | `1,2->4,4` | 5 | 16384 | 4 | min=417 avg=423.750 med=424.500 max=429 | min=47 avg=53.750 med=54.500 max=59 | 4 | 2791 |
| disjoint | a | 0 | x | `1,2` | `2,5` | `2,3->4,5` | `1,2->2,5` | 4 | 16384 | 4 | min=421 avg=421.250 med=421.000 max=422 | min=51 avg=51.250 med=51.000 max=52 | 4 | 2791 |
| disjoint | a | 0 | x | `1,2` | `3,5` | `2,3->4,5` | `1,2->3,5` | 5 | 16384 | 4 | min=423 avg=427.000 med=426.000 max=433 | min=53 avg=57.000 med=56.000 max=63 | 4 | 2804 |
| disjoint | a | 0 | x | `1,2` | `4,5` | `2,3->4,5` | `1,2->4,5` | 6 | 16384 | 4 | min=427 avg=431.000 med=430.500 max=436 | min=57 avg=61.000 med=60.500 max=66 | 4 | 2798 |
| disjoint | b | 0 | x | `10,2` | `11,3` | `11,3->13,5` | `11,2->12,3` | 2 | 16384 | 4 | min=407 avg=409.500 med=409.500 max=412 | min=37 avg=42.750 med=41.500 max=51 | 4 | 2796 |
| disjoint | b | 0 | x | `10,2` | `12,3` | `11,3->13,5` | `11,2->13,3` | 3 | 16384 | 4 | min=416 avg=418.000 med=416.500 max=423 | min=46 avg=51.250 med=46.500 max=66 | 4 | 2795 |
| disjoint | b | 0 | x | `10,2` | `13,3` | `11,3->13,5` | `11,2->14,3` | 4 | 16384 | 4 | min=432 avg=434.000 med=434.500 max=435 | min=64 avg=67.250 med=65.000 max=75 | 4 | 2803 |
| disjoint | b | 0 | x | `10,2` | `11,4` | `11,3->13,5` | `11,2->12,4` | 3 | 16384 | 4 | min=416 avg=418.250 med=418.000 max=421 | min=47 avg=51.500 med=50.000 max=59 | 4 | 2802 |
| disjoint | b | 0 | x | `10,2` | `12,4` | `11,3->13,5` | `11,2->13,4` | 4 | 16384 | 4 | min=426 avg=427.500 med=426.500 max=431 | min=56 avg=60.750 med=56.500 max=74 | 4 | 2781 |
| disjoint | b | 0 | x | `10,2` | `13,4` | `11,3->13,5` | `11,2->14,4` | 5 | 16384 | 4 | min=439 avg=441.750 med=441.000 max=446 | min=69 avg=75.000 med=71.000 max=89 | 4 | 2801 |
| disjoint | b | 0 | x | `10,2` | `11,5` | `11,3->13,5` | `11,2->12,5` | 4 | 16384 | 4 | min=422 avg=423.750 med=422.500 max=428 | min=52 avg=57.000 med=52.500 max=71 | 4 | 2802 |
| disjoint | b | 0 | x | `10,2` | `12,5` | `11,3->13,5` | `11,2->13,5` | 5 | 16384 | 4 | min=435 avg=437.750 med=438.500 max=439 | min=68 avg=71.000 med=69.000 max=78 | 4 | 2801 |
| disjoint | b | 0 | x | `10,2` | `13,5` | `11,3->13,5` | `11,2->14,5` | 6 | 16384 | 4 | min=449 avg=451.750 med=452.500 max=453 | min=82 avg=85.000 med=83.000 max=92 | 4 | 2782 |
| disjoint | a | 0 | y | `1,2` | `2,3` | `2,3->4,5` | `1,2->2,3` | 2 | 16384 | 4 | min=401 avg=401.500 med=401.500 max=402 | min=31 avg=31.500 med=31.500 max=32 | 4 | 2802 |
| disjoint | a | 0 | y | `1,2` | `3,3` | `2,3->4,5` | `1,2->3,3` | 3 | 16384 | 4 | min=404 avg=406.250 med=406.500 max=408 | min=34 avg=36.250 med=36.500 max=38 | 4 | 2807 |
| disjoint | a | 0 | y | `1,2` | `4,3` | `2,3->4,5` | `1,2->4,3` | 4 | 16384 | 4 | min=412 avg=419.500 med=421.500 max=423 | min=42 avg=49.500 med=51.500 max=53 | 4 | 2811 |
| disjoint | a | 0 | y | `1,2` | `2,4` | `2,3->4,5` | `1,2->2,4` | 3 | 16384 | 4 | min=410 avg=411.750 med=411.500 max=414 | min=40 avg=41.750 med=41.500 max=44 | 4 | 2792 |
| disjoint | a | 0 | y | `1,2` | `3,4` | `2,3->4,5` | `1,2->3,4` | 4 | 16384 | 4 | min=413 avg=416.000 med=416.500 max=418 | min=43 avg=46.000 med=46.500 max=48 | 4 | 2816 |
| disjoint | a | 0 | y | `1,2` | `4,4` | `2,3->4,5` | `1,2->4,4` | 5 | 16384 | 4 | min=418 avg=419.500 med=419.000 max=422 | min=48 avg=49.500 med=49.000 max=52 | 4 | 2811 |
| disjoint | a | 0 | y | `1,2` | `2,5` | `2,3->4,5` | `1,2->2,5` | 4 | 16384 | 4 | min=418 avg=423.000 med=422.500 max=429 | min=48 avg=53.000 med=52.500 max=59 | 4 | 2811 |
| disjoint | a | 0 | y | `1,2` | `3,5` | `2,3->4,5` | `1,2->3,5` | 5 | 16384 | 4 | min=431 avg=431.250 med=431.000 max=432 | min=61 avg=61.250 med=61.000 max=62 | 4 | 2811 |
| disjoint | a | 0 | y | `1,2` | `4,5` | `2,3->4,5` | `1,2->4,5` | 6 | 16384 | 4 | min=430 avg=431.000 med=431.000 max=432 | min=60 avg=61.000 med=61.000 max=62 | 4 | 2805 |
